,timestamp,photoIndex,V,geometry,pictureUrl
24172,1496843234.65,74.0,43.0652791709,POINT (-73.97489293000001 40.64961848),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_d3871_5938483ad4dba.jpg
24303,1496843236.65,75.0,34.1541584321,POINT (-73.97480899999999 40.64970335),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_88ebe_5938483b9d392.jpg
24525,1496843238.66,76.0,74.1730393423,POINT (-73.974705685 40.64977724),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_734a4_5938483ccd0cc.jpg
24716,1496843240.64,77.0,49.2738821052,POINT (-73.97461907 40.649843835),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_b89c4_5938483e5c366.jpg
25019,1496843243.65,78.0,45.3085525996,POINT (-73.97446379 40.649913055),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_caeb0_5938483f4e8ab.jpg
25329,1496843246.64,79.0,31.8466395465,POINT (-73.97429324999999 40.649954025),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_3d8e1_59384841b4ea5.jpg
25533,1496843248.66,80.0,84.552026725,POINT (-73.97417181500001 40.649995685),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_d19c0_59384841865c5.jpg
25733,1496843250.65,81.0,52.1147147024,POINT (-73.97405188 40.65003504),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_f8e4c_59384843343f1.jpg
25940,1496843252.65,82.0,41.5441158319,POINT (-73.97390873000001 40.65013141999999),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_ac335_59384843a7523.jpg
26038,1496843253.65,83.0,26.5601356975,POINT (-73.97384775 40.65016633),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_86a29_59384844f3446.jpg
26259,1496843255.67,84.0,51.2962589953,POINT (-73.97372831 40.65024199),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_3510b_593848485804c.jpg
26445,1496843257.65,85.0,43.7730026122,POINT (-73.97359516 40.650309055),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_57acc_593848487cdc8.jpg
26649,1496843259.66,86.0,64.2064913306,POINT (-73.97349776999999 40.65036593),http://storage4.openstreetcam.org/files/photo/2017/6/7/proc/464547_c7b9f_59384848d3e16.jpg
