long,lat,accelerationX,accelerationY,accelerationZ
427,,,0.39715692,0.26049986,-0.46550575
429,,,0.39715692,0.26049986,-0.46550575
431,,,0.39715692,0.26049986,-0.46550575
433,,,-0.015215134,0.15898353,-0.9681467
435,,,-0.015215134,0.15898353,-0.9681467
437,,,-0.015215134,0.15898353,-0.9681467
439,,,-0.015215134,0.15898353,-0.9681467
441,,,-0.015215134,0.15898353,-0.9681467
443,,,-0.9711257,0.5061871,-0.7218296
445,,,-0.9711257,0.5061871,-0.7218296
447,,,-0.9711257,0.5061871,-0.7218296
449,,,-0.9711257,0.5061871,-0.7218296
451,-73.97190051,40.64345637,,,
